ID,Name,Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
643,Jeffery Thomas,18,Female,East Melissafurt,7th,5.4,7.0,90,9,0.2,10,10,1,1,1.3,47,17,4.7,1.0,0.8,Gaming,6,9.5,10.0
701,Paul Rodriguez,14,Male,Lake Holly,11th,2.8,4.4,60,8,0.0,2,4,7,1,1.2,95,9,2.8,0.4,0.5,Gaming,10,8.1,7.5
227,Scott Thompson,16,Female,Markport,10th,5.9,5.8,71,2,2.0,6,7,1,1,1.5,76,18,1.4,1.6,2.0,Other,4,7.7,10.0
1698,Jesus Brown,16,Male,New Lindsey,11th,5.3,8.9,93,8,1.0,8,10,6,1,0.4,56,7,3.2,0.2,1.7,Browsing,2,6.3,6.8
1011,Holly Dean,13,Female,Port Abigail,12th,2.7,6.7,99,8,0.9,5,4,8,1,1.6,45,14,2.3,1.6,1.1,Browsing,3,6.8,7.0
1573,Heather Bartlett,17,Female,North Mario,11th,7.0,5.9,52,5,1.6,1,4,2,0,0.5,66,18,2.7,2.0,0.6,Social Media,3,4.1,10.0
777,Nathaniel Brown,14,Other,West Willie,10th,2.0,7.3,58,8,1.8,3,9,1,1,2.0,92,6,1.4,1.0,0.5,Gaming,10,6.9,3.8
1731,Richard Mccarthy,14,Male,Nelsonland,9th,4.4,6.3,66,6,0.5,2,3,8,0,0.6,64,8,2.2,1.5,1.2,Other,10,5.9,7.8
2827,Michael Young,18,Female,Debrashire,9th,6.8,7.6,60,6,1.1,2,7,1,0,1.4,77,11,1.1,2.9,2.2,Social Media,1,4.6,10.0
2229,Robert Mejia,16,Other,Brianton,9th,6.3,5.7,88,0,0.2,8,1,1,0,1.0,77,14,1.9,2.5,0.8,Education,3,7.4,10.0
2795,Nicole Ferguson,18,Male,Wareshire,10th,4.9,7.5,67,2,2.6,1,9,9,1,1.0,87,16,3.6,2.6,0.5,Other,6,5.7,10.0
465,Amber Rodriguez,13,Female,Stephaniestad,11th,5.4,4.3,93,2,1.2,8,10,4,1,1.0,38,20,3.5,3.4,0.9,Browsing,8,3.3,10.0
2652,Tristan Tate,14,Female,Loganport,11th,5.0,6.9,72,2,2.2,10,3,8,0,1.1,92,12,2.6,0.9,1.1,Social Media,2,5.1,9.3
1094,Cassandra Rojas,15,Other,Patriciastad,10th,3.6,6.9,60,6,0.7,9,8,10,0,2.0,128,6,3.5,1.0,2.0,Other,6,6.0,8.4
